French,English
le personnage principal, the main character
jouer le rôle de, to play the part of
les effets spéciaux, the special effects
un gros plan, a close-up
un plan moyen, a medium close-up
l'arrière plan, the background
le cadrage, the frame
l'ambience, atmosphere
le scénario, the storyline
les acteurs, actors
les personnages, the characters
la tension, tension
la relation, relationship
l'occupation, the occupation
la guerre, the war
la gentillesse, kindness
l'antisémitisme, antisemitism
les bains-publics, public baths
un thème, a theme
évidemment, evidently
un dortoir, dormitory
un couvre-feu, curfew
une alerte, an alert
un abri, a shelter
une chasse au trésor, a treasure hunt
la messe, mass
le prêtre, the priest
les religieuses, the nuns
faire une prière, to pray
l'infirmière, the nurse
recevoir l'hostie, to receive communion
fouiller, to search
dénoncer, to expose
soupçonner, to suspect
la cuisinière, the cook
echanger, to exchange
un film muet, a silent film
voler, to steal
mourir, to die
l'amitiè, friendship
montrer, to show
suggérer, to suggest
indiquer, to indicate
la Seconde Guerre moldiale, WW2
juif, Jewish/jew
interdit, banned
le marché noir, the black market
un pensionnat, boarding school
jouer aux échasses, to play on stilts
un casier, a locker
trahir, to betray
la trahison, betrayal
le moine ,the monk
prier, to pray
des bougies, candles
se confesser, to confess
se cacher, to hide
dénoncer, to expose
faire un sermon, to preach
une patrouille, a patrol
handicapé, disabled
la bourgeoisie, upper middle class
echanger, to exchange
un placard, a closet
la mort, death
interdit, forbidden
des timbres, stamps
pleurer, t0 cry
l'amitié, friendship
mentir, to lie
un bouquin, a book
s'échapper
le chauffage, heating
la salle de classe, classroom
milicien, soldat d'une milice
avoir peur, to be afraid of
la résistance, resistance
l'inégalité, inequality
